slug,status,hasWebsite,lastVerified
avanthis-scientific-tech-and-research-academy,blank,no,
avanthis-st-theressa-institute-of-engg-and-technology,blank,no,
avn-inst-of-engg-technology-autonomous,blank,no,
b-v-chalamaiah-engineering-college,blank,no,
b-v-raju-institute-of-technology,blank,no,
baba-inst-of-tech-and-sciences,blank,no,
balaji-college-of-pharmacy,blank,no,
balaji-institute-of-technology-and-sci-autonomous,blank,no,
banasthali,verified,yes,2026-04-16
bapatla-college-of-pharmacy,blank,no,
bapatla-engineering-college,blank,no,
bapatla-womens-engg-college,blank,no,
behara-college-of-engineering-and-technology,blank,no,
bellamkonda-inst-of-technology-and-sci,blank,no,
bharat-institute-of-engg-and-technology,blank,no,
bharatiya-engg-sci-tech-innovation-university,blank,no,
bhaskar-engineering-college,blank,no,
bhaskar-institute-of-technology-science,blank,no,
bheema-inst-of-technology-and-sci,blank,no,
bhimavaram-inst-of-engg-and-technology,blank,no,
bhojreddy-engineering-college-for-women,blank,no,
bit-ranchi,verified,yes,2026-04-16
bits-pilani,verified,yes,2026-04-09
bomma-inst-of-technology-and-sci,blank,no,
bonam-venkata-chalamaiah-inst-of-tech-and-sci,blank,no,
brilliant-grammer-school-ednl-soc-grp-of-instns,blank,no,
brilliant-instt-of-engg-and-technology,blank,no,
brindavan-inst-of-technology-and-sci,blank,no,
bvc-college-of-engineering,blank,no,
bvrit-college-of-engineering-for-women-autonomous,blank,no,
bvsr-engineering-college,blank,no,
c-m-r-college-of-engg-and-technology-autonomous,blank,no,
cbit-hyderabad,verified,yes,2026-04-09
centurion-university-of-technology-management,blank,no,
chadalawada-ramanamma-engg-college,blank,no,
chaitanya-engineering-college,blank,no,
chaitanya-inst-of-sci-and-technology,blank,no,
chalapathi-inst-of-engg-and-technology,blank,no,
chalapathi-inst-of-technology,blank,no,
chalapathi-institute-of-pharmaceutical-sci,blank,no,
chandigarh-university,verified,yes,2026-04-16
chirala-engineering-college,blank,no,
chiranjeevi-reddy-inst-of-engg-and-technology-for-women,blank,no,
chitkara,verified,yes,2026-04-16
christ-bangalore,verified,yes,2026-04-16
cmr-engg-college-autonomous,blank,no,
cmr-institute-of-technology-autonomous,blank,no,
cmr-technical-campus-autonomous,blank,no,
coep-pune,verified,yes,2026-04-16
college-of-agricultural-engg,blank,no,
college-of-agricultural-engineering,blank,no,
college-of-dairy-technology,blank,no,
college-of-engineering-br-ambedkar-univ-self-finance,blank,no,
college-of-food-science-and-technology,blank,no,
cv-raman,verified,yes,2026-04-16
cvr-college-of-engineering,blank,no,
cvr-hyderabad,verified,yes,2026-04-09
d-m-s-s-v-h-college-of-engineering,blank,no,
d-r-k-institute-of-sci-and-technology,blank,no,
dadi-instt-of-engineering-and-technology,blank,no,
damisetty-bala-suresh-inst-of-technology,blank,no,
daripally-anantha-ramulu-collof-enggand-tech,blank,no,
dhanekula-inst-of-engg-technology,blank,no,
diat-pune,verified,yes,2026-04-16
dnr-college-of-engg-and-tech,blank,no,
dr-l-bullayya-coll-ege-of-engineering,blank,no,
dr-n-t-r-college-of-agricultural-engineering,blank,no,
dr-n-t-r-college-of-food-science-and-technology,blank,no,
dr-paul-rajs-engineering-college,blank,no,
dr-samuel-george-institute-of-engg-and-technology,blank,no,
drk-v-subba-reddy-inst-of-pharmacy,blank,no,
drkvsubba-reddy-inst-of-technology,blank,no,
drysr-architecture-and-fine-arts-university,blank,no,
drysr-college-of-engineering-technology-self-finance,blank,no,
dtu,verified,yes,2026-04-16
dvr-and-drhs-mic-college-of-technology,blank,no,
ellenki-collge-of-engg-and-technology,blank,no,
eluru-college-of-engg-and-technology,blank,no,
eswar-college-of-engineering,blank,no,
g-m-r-institute-of-technology,blank,no,
g-naraynamma-institute-of-technology-and-sci,blank,no,
g-pulla-reddy-engineering-college,blank,no,
g-v-p-college-for-degree-and-pg-courses,blank,no,
g-v-r-and-s-college-of-engg-and-technology,blank,no,
gate-institute-of-technologyand-sciences,blank,no,
gates-institute-of-technology,blank,no,
gayathri-vidya-parishad-coll-of-engg-for-women,blank,no,
gayathri-vidya-parishad-coll-of-engineering,blank,no,
geetanjali-college-of-engg-and-technology-autonomous,blank,no,
geethanjali-inst-of-science-and-technology,blank,no,
giet-engineering-college,blank,no,
global-inst-of-engineering-and-technology-autonomous,blank,no,
gmrit-rajam,verified,yes,2026-04-16
godavari-global-university,blank,no,
gokaraju-lailavathi-womens-engineering-college,blank,no,
gokaraju-rangaraju-institute-of-engg-and-tech,blank,no,
gokul-group-of-institutions,blank,no,
gokula-krishna-college-of-engineering,blank,no,
golden-valley-integrated-campus,blank,no,
gonna-inst-of-info-technology-sciences,blank,no,
gouthami-inst-of-technology-mgmt-for-women,blank,no,
government-engineering-college-kosgi,blank,no,
gpullaiah-coll-of-engg-and-technology,blank,no,
graphic-era,verified,yes,2026-04-16
griet,verified,yes,2026-04-09
guru-nanak-institutions-technical-campus-autonomous,blank,no,
gurunanak-inst-of-technology-autonomous,blank,no,
helapuri-inst-of-tech-and-science,blank,no,
hindu-college-of-engineering-and-technology,blank,no,
holy-mary-institute-of-tech-science-autonomous,blank,no,
hyderabad-inst-of-technology-and-mgmt-autonomous,blank,no,
iare,verified,yes,2026-04-16
ict-mumbai,verified,yes,2026-04-16
ideal-institute-of-technology,blank,no,
iiest-shibpur,verified,yes,2026-04-16
iiit-bangalore,verified,yes,2026-04-16
iiit-delhi,verified,yes,2026-04-16
iiit-hyderabad,verified,yes,2026-04-09
iiitm-gwalior,verified,yes,2026-04-16
iist-trivandrum,verified,yes,2026-04-16
iit-bhilai,verified,yes,2026-04-16
iit-bhu,verified,yes,2026-04-16
iit-bhubaneswar,verified,yes,2026-04-16
iit-bombay,verified,yes,2026-04-16
iit-delhi,verified,yes,2026-04-16
iit-dharwad,verified,yes,2026-04-16
iit-gandhinagar,verified,yes,2026-04-16
iit-guwahati,verified,yes,2026-04-16
iit-hyderabad,verified,yes,2026-04-09
iit-indore,verified,yes,2026-04-16
iit-ism,verified,yes,2026-04-16
iit-jammu,verified,yes,2026-04-16
iit-jodhpur,verified,yes,2026-04-16
iit-kanpur,verified,yes,2026-04-16
iit-kharagpur,verified,yes,2026-04-16
iit-madras,verified,yes,2026-04-09
iit-mandi,verified,yes,2026-04-16
iit-palakkad,verified,yes,2026-04-16
iit-patna,verified,yes,2026-04-16
iit-roorkee,verified,yes,2026-04-16
iit-ropar,verified,yes,2026-04-16
iit-tirupati,verified,yes,2026-04-16
indira-inst-of-technology-sci,blank,no,
indur-institute-of-engineering-and-technology,blank,no,
institute-of-aeronautical-engineering,blank,no,
international-school-of-tech-and-sci-for-women,blank,no,
international-school-of-tech-and-sci-off-campus,blank,no,
j-b-institute-of-engg-and-technology-autonomous,blank,no,
jadavpur,verified,yes,2026-04-16
jain-bangalore,verified,yes,2026-04-16
jamia,verified,yes,2026-04-16
jaya-prakash-narayan-college-of-engineering,blank,no,
jayamukhi-institute-of-technology-and-scis-autonomous,blank,no,
jnafau-school-of-planning-and-arch-self-finance,blank,no,
jntu-hyderabad,verified,yes,2026-04-09
jntua-anantapur,verified,yes,2026-04-16
jntua-college-of-engg-anantapuramu,blank,no,
jntua-college-of-engg-pulivendula,blank,no,
jntua-college-of-engineering-kalikiri,blank,no,
jntuh-university-college-of-engg-manthani,blank,no,
jntuh-university-college-of-engg-sci-and-tech-5-year-integrated-mtech-self-finance,blank,no,
jntuh-university-college-of-engg-sci-and-tech-hyderabad,blank,no,
jntuh-university-college-of-engineering-jagitial-autonomous,blank,no,
jntuh-university-college-of-engineering-mahabubabad,blank,no,
jntuh-university-college-of-engineering-palair,blank,no,
jntuh-university-college-of-engineering-rajanna-sircilla,blank,no,
jntuh-university-college-of-engineering-sultanpur,blank,no,
jntuh-university-college-of-engineering-wanaparthy,blank,no,
jntuk-college-of-engg-kakinada,blank,no,
jntuk-college-of-engg-kakinada-self-finance,blank,no,
jntuk-college-of-engg-kakinada-self-supporting,blank,no,
jntuk-college-of-engineering-narsaraopeta,blank,no,
jntuk-college-of-engineering-vizianagaram,blank,no,
jntuk-kakinada,verified,yes,2026-04-16
joginpally-b-r-engineering-college-autonomous,blank,no,
jyothishmathi-institute-of-technology-and-sci-autonomous,blank,no,
k-s-r-m-college-of-engineering,blank,no,
k-u-college-of-engg-kothagudem,blank,no,
k-u-college-of-engg-kothagudem-self-finance,blank,no,
k-v-s-r-siddhartha-college-of-pharmaceutical-scis,blank,no,
kakatiya-inst-of-technology-sci-for-women,blank,no,
kakatiya-institute-of-technology-and-sci,blank,no,
kakatiya-university,verified,yes,2026-04-09
kakinada-inst-of-engg-and-technology-for-women,blank,no,
kakinada-institute-of-engg-and-technology,blank,no,
kakinada-institute-of-technology-and-science,blank,no,
kakinada-institute-of-technology-sciences,blank,no,
kallam-haranadh-reddy-inst-of-tech,blank,no,
kamala-institute-of-technology-and-science-autonomous,blank,no,
kandula-lakshumma-memorial-college-of-engg-for-women,blank,no,
kandula-obul-reddy-memorial-coll-of-engg,blank,no,
kasireddy-narayanareddy-coll-engg-res,blank,no,
keshav-memorial-college-of-engineering,blank,no,
keshav-memorial-engineering-college,blank,no,
keshav-memorial-inst-of-technology,blank,no,
kg-reddy-college-of-engg-and-technology-autonomous,blank,no,
kiit,verified,yes,2026-04-16
kits-akshar-institute-of-technology,blank,no,
kkr-and-ksr-inst-of-technology-and-sci,blank,no,
kl-university,verified,yes,2026-04-09
klrcollege-of-engg-and-technology-paloncha,blank,no,
kmm-inst-of-technology-and-science,blank,no,
kodada-inst-of-technology-and-science-for-women,blank,no,
kommuri-pratap-reddy-inst-of-technology-autonomous,blank,no,
kprit-college-of-engineering,blank,no,
krishna-chaitanya-inst-of-technology-and-sciences,blank,no,
krishna-university-college-of-engg-and-technology-self-finan,blank,no,
kshatriya-college-of-engineering,blank,no,
ku-college-of-engineering-and-technology,blank,no,
kuppam-engineering-college,blank,no,
lakireddy-balireddy-college-of-engineering,blank,no,
lendi-inst-of-engg-and-technology,blank,no,
lenora-college-of-engineering,blank,no,
lingayas-inst-of-mgmt-and-technology,blank,no,
loyola-institute-of-technology-and-mgmt,blank,no,
m-a-m-womens-engineering-college,blank,no,
m-l-r-institute-of-technology-autonomous,blank,no,
m-v-g-r-college-of-engineerng,blank,no,
m-v-s-r-engineering-college-autonomous,blank,no,
madanapally-institute-of-technology-and-sci,blank,no,
madhira-institute-of-technology-and-sci,blank,no,
maharajahs-college-pharmacy,blank,no,
mahatma-gandhi-institute-of-technology-autonomous,blank,no,
mahaveer-institute-of-sci-and-technology,blank,no,
malineni-lakshmaiah-womens-engg-college,blank,no,
malineni-suseelamma-womens-engg-college,blank,no,
malla-reddy,verified,yes,2026-04-09
malla-reddy-college-of-engg-technology-autonomous,blank,no,
malla-reddy-college-of-engineering,blank,no,
malla-reddy-college-of-engineering-for-women,blank,no,
malla-reddy-engg-college-for-women-autonomous,blank,no,
malla-reddy-engineering-college-and-management-sciences,blank,no,
mallareddy-engineering-college-autonomous,blank,no,
mam-college-of-pharmacy,blank,no,
mandava-institute-of-engg-and-technology,blank,no,
manipal-jaipur,verified,yes,2026-04-16
manit-bhopal,verified,yes,2026-04-16
marri-laxman-reddy-inst-of-technology-and-management-autonomous,blank,no,
matrusri-engineering-college-autonomous,blank,no,
megha-inst-of-engg-and-technology-for-women,blank,no,
methodist-college-of-engineering-and-technology-autonomous,blank,no,
mgu-college-of-engineering-and-technology,blank,no,
mina-inst-of-engg-and-technology-for-women,blank,no,
miracle-ednl-soc-group-of-instns,blank,no,
mit-manipal,verified,yes,2026-04-16
mjr-college-of-engg-and-technology,blank,no,
mlr-it,verified,yes,2026-04-16
mmmut-gorakhpur,verified,yes,2026-04-16
mnit-jaipur,verified,yes,2026-04-16
mnnit-allahabad,verified,yes,2026-04-16
mnrcollege-of-engineering-and-technology,blank,no,
mohan-babu-university,blank,no,
mother-teresa-institute-of-sci-and-technology-autonomous,blank,no,
mother-theresa-college-of-engg-and-technology,blank,no,
mother-theresa-inst-of-engg-and-tech,blank,no,
msrit-bangalore,verified,yes,2026-04-16
mvrcoll-of-engineering-and-technology,blank,no,
n-s-raju-institute-of-engg-and-technology,blank,no,
nadimpalli-satyanarayana-raju-institute-of-technology,blank,no,
nalla-narasimha-reddy-ednl-soc-grp-of-instns-autonomous,blank,no,
nallamalla-reddy-engineering-college-autonomous,blank,no,
narayana-engineering-college,blank,no,
narsaraopeta-engineering-college,blank,no,
narsimhareddy-engineering-college-autonomous,blank,no,
nbkr-institute-of-sci-and-technology,blank,no,
neil-gogte-inst-of-technology,blank,no,
netaji-institute-of-engineering-and-technology,blank,no,
newton-institute-of-engineering,blank,no,
newtons-inst-of-sci-and-tech,blank,no,
nigama-engineering-college,blank,no,
nirmala-coll-of-pharm,blank,no,
nirmala-college-of-pharmacy,blank,no,
nit-calicut,verified,yes,2026-04-16
nit-delhi,verified,yes,2026-04-16
nit-durgapur,verified,yes,2026-04-16
nit-hamirpur,verified,yes,2026-04-16
nit-jalandhar,verified,yes,2026-04-16
nit-jamshedpur,verified,yes,2026-04-16
nit-kurukshetra,verified,yes,2026-04-16
nit-meghalaya,verified,yes,2026-04-16
nit-patna,verified,yes,2026-04-16
nit-puducherry,verified,yes,2026-04-16
nit-raipur,verified,yes,2026-04-16
nit-rourkela,verified,yes,2026-04-16
nit-silchar,verified,yes,2026-04-16
nit-srinagar,verified,yes,2026-04-16
nit-surathkal,verified,yes,2026-04-16
nit-trichy,verified,yes,2026-04-09
nit-warangal,verified,yes,2026-04-09
nri-institute-of-technology,blank,no,
nri-instt-of-technology,blank,no,
nsut-delhi,verified,yes,2026-04-16
nvrcollege-of-engg-technology,blank,no,
o-u-college-of-engg-hyderabad,blank,no,
o-u-college-of-tech-hyderabad,blank,no,
osmania-university,verified,yes,2026-04-09
p-b-r-visvodaya-institute-of-technology-and-sci,blank,no,
pace-institute-of-technology-and-sciences,blank,no,
paladugu-parvathi-devi-college-of-engg-and-tech,blank,no,
pallavi-engineering-college-autonomous,blank,no,
panjab-university,verified,yes,2026-04-16
pdeu-gandhinagar,verified,yes,2026-04-16
potti-sriramulu-college-of-engg-and-technology,blank,no,
pragati-engineering-college,blank,no,
prakasam-engineering-college,blank,no,
prasad-v-potluri-siddhartha-instt-of-technology,blank,no,
princeton-inst-of-engg-tech-for-women,blank,no,
priyadarshini-coll-of-engg-and-technology,blank,no,
priyadarshini-inst-of-tech-and-mgmt,blank,no,
priyadarshini-inst-of-tech-and-sciences-for-women,blank,no,
priyadarshini-inst-of-technology,blank,no,
priyadarshini-inst-of-technology-and-sciences,blank,no,
priyadarshini-institute-of-science-technology-for-women,blank,no,
psg-tech,verified,yes,2026-04-16
pvkk-institute-of-technology,blank,no,
pvkk-institute-of-technology-off-campus,blank,no,
pydah-coll-of-engineering,blank,no,
qis-college-of-engg-and-technology,blank,no,
qis-college-of-pharmacy,blank,no,
qis-ongole,verified,yes,2026-04-16
r-v-institute-of-technology,blank,no,
r-v-r-and-j-c-college-of-engineering,blank,no,
raghu-engineering-college,blank,no,
rajamahendri-inst-of-engg-and-technology,blank,no,
rajiv-gandhi-memorial-college-of-engg-and-tech,blank,no,
ramachandra-college-of-engineering,blank,no,
ramireddy-subba-ramireddy-engg-college,blank,no,
ravindra-college-of-engg-for-women,blank,no,
rayalaseema-university-college-of-engg-self-finance,blank,no,
rgipt-amethi,verified,yes,2026-04-16
rise-krishna-sai-gandhi-group-of-institutions,blank,no,
rise-krishna-sai-prakasam-group-of-institutions,blank,no,
rishi-ms-inst-of-engg-and-tech-for-women,blank,no,
rkcollege-of-engineering,blank,no,
rvrjc-guntur,verified,yes,2026-04-16
s-r-k-inst-of-technology,blank,no,
s-r-k-r-engineering-college,blank,no,
s-r-m-university-ap,verified,yes,2026-05-14
s-v-u-college-of-engg-self-supporting-tirupathi,blank,no,
s-v-u-college-of-engg-tirupathi,blank,no,
sai-rajeswari-institute-of-technology,blank,no,
sai-spurti-institute-of-technology,blank,no,
samskruthi-college-of-engg-and-technology-autonomous,blank,no,
sankethika-vidya-parishad-engineering-college,blank,no,
sankethika-vidya-parishad-engineering-college-off-campus,blank,no,
sanskrithi-school-of-engineering,blank,no,
santhiram-engineering-college,blank,no,
sasi-institute-of-technology-and-engineering,blank,no,
sastra,verified,yes,2026-04-16
sathyabama,verified,yes,2026-04-16
satya-inst-of-technology-and-mgmt,blank,no,
school-of-engg-tech-spmvv-self-finance,blank,no,
school-of-food-technology-jntuk-kakinada-self-finance,blank,no,
school-of-pharmaceutical-sci-and-tech-self-finance,blank,no,
scient-institute-of-technology,blank,no,
seshadri-rao-gudlavalleru-engineering-college,blank,no,
shri-vishnu-engg-college-for-women,blank,no,
siddartha-ednl-academy-grp-of-instns,blank,no,
siddharth-institute-of-engg-and-technology,blank,no,
siddhartha-instt-of-engg-and-technology-autonomous,blank,no,
siddhartha-instt-of-technology-and-sciences-autonomous,blank,no,
simhadri-ednl-soc-grp-of-instns,blank,no,
sir-c-r-r-college-of-engineering,blank,no,
sir-crreddy-college-of-pharmacy,blank,no,
sir-cv-raman-inst-of-technology-sciences,blank,no,
skcet-coimbatore,verified,yes,2026-04-16
sliet-longowal,verified,yes,2026-04-16
soa-bhubaneswar,verified,yes,2026-04-16
sphoorthy-engineering-college-autonomous,blank,no,
sr-university,verified,yes,2026-04-16
sr-university-formerly-s-r-engineering-college,blank,no,
sr-venkateswara-coll-of-engineering,blank,no,
sree-chaitanya-college-of-engineering,blank,no,
sree-chaitanya-inst-of-technology-sciences,blank,no,
sree-dattha-grp-of-instns-autonomous,blank,no,
sree-dattha-institute-of-engineering-and-science-autonomous,blank,no,
sree-rama-engineering-college,blank,no,
sree-vahini-instt-of-science-and-technology,blank,no,
sree-venkateswara-coll-of-engg,blank,no,
sreyas-inst-of-engg-and-technology-autonomous,blank,no,
sri-annamacharya-institute-of-technology-and-science,blank,no,
sri-chaitanya-djr-coll-of-engg-and-tech,blank,no,
sri-chaitanya-institute-of-technology-and-research,blank,no,
sri-chaitanya-technical-campus,blank,no,
sri-indu-college-of-engg-and-technology-autonomous,blank,no,
sri-indu-institute-of-engineering-and-technology-autonomous,blank,no,
sri-krishnadevaraya-univcollof-eng-self-finance,blank,no,
sri-mittapalli-college-of-engineering,blank,no,
sri-sai-institute-of-technology-and-sci,blank,no,
sri-sarathi-institute-of-engg-and-technology,blank,no,
sri-siddhaartha-pharm-college,blank,no,
sri-sivani-college-of-engineering,blank,no,
sri-sunflower-college-of-engg-and-technology,blank,no,
sri-vasavi-engineering-college,blank,no,
sri-vasavi-instt-of-engineering-and-technology,blank,no,
sri-venkatesa-perumal-college-of-engg-and-tech,blank,no,
sri-venkateswara-coll-of-engineering,blank,no,
sri-venkateswara-college-of-engg-and-technology,blank,no,
sri-venkateswara-college-of-engineering,blank,no,
sri-venkateswara-college-of-pharmacy,blank,no,
sri-venkateswara-engineering-college,blank,no,
sri-venkateswara-inst-of-science-and-technology,blank,no,
sri-venkateswara-inst-of-technology,blank,no,
sri-vishnu-college-of-pharmacy,blank,no,
sri-vishweswaraya-inst-of-technology-and-sci,blank,no,
sridevi-womens-engineering-college-autonomous,blank,no,
srinidhi-institute-of-sci-and-technology,blank,no,
srinivasa-inst-of-engg-and-technology,blank,no,
srinivasa-inst-of-technology-and-science,blank,no,
srinivasa-institute-of-technology-and-mang-studies,blank,no,
srinivasa-ramanujan-inst-of-technology,blank,no,
srkr-bhimavaram,verified,yes,2026-04-16
srm-chennai,verified,yes,2026-04-16
st-anns-college-of-engg-and-technology,blank,no,
st-johns-college-of-engg-and-technology,blank,no,
st-martins-engineering-college-autonomous,blank,no,
st-peters-engineering-college-autonomous,blank,no,
stanley-college-of-engg-and-technology-for-women-autonomous,blank,no,
stjohns-college-of-pharm-sci,blank,no,
sumathi-reddy-inst-of-technology-for-women,blank,no,
sv-college-of-engineering,blank,no,
svnit-surat,verified,yes,2026-04-16
svr-engineering-college,blank,no,
svs-grp-of-instns-svs-inst-of-tech-autonomous,blank,no,
svuce-tirupati,verified,yes,2026-04-16
svvu-college-of-dairy-technology,blank,no,
swami-vivekananda-inst-of-technology-autonomous,blank,no,
swarna-bharathi-institute-of-sci-and-technology,blank,no,
swarnandhra-coll-of-engg-and-technology,blank,no,
t-k-r-college-of-engg-and-technology-autonomous,blank,no,
tadipatri-engg-college,blank,no,
talla-padmavathi-coll-of-engineering,blank,no,
teegala-krishna-reddy-engineering-college-autonomous,blank,no,
thapar,verified,yes,2026-04-16
tirumala-engineering-college,blank,no,
trinity-college-of-engineering-and-technology,blank,no,
trr-college-of-technology,blank,no,
universal-college-of-engg-and-technology,blank,no,
university-college-of-engg-and-tech-for-women-ku-campus,blank,no,
uoh,verified,yes,2026-04-16
usha-rama-coll-of-engg-and-technology,blank,no,
v-n-r-vignana-jyothi-institute-of-engg-and-tech,blank,no,
vaagdevi-college-of-engineering-autonomous,blank,no,
vaagdevi-institute-of-technology-and-sci,blank,no,
vaageshwari-coll-of-engineering,blank,no,
vagdevi-college-of-pharmacy,blank,no,
vagdevi-engineering-college-autonomous,blank,no,
vallabhaneni-venkatadri-inst-of-pharm-sciences,blank,no,
varaprasad-reddy-inst-of-technology,blank,no,
vardhaman,verified,yes,2026-04-16
vardhaman-college-of-engineering,blank,no,
vasavi-college-of-engineering,blank,no,
vasavi-hyderabad,verified,yes,2026-04-09
vasireddy-venkatadri-inst-of-technology,blank,no,
vathsalya-institute-of-sci-and-technology,blank,no,
vel-tech,verified,yes,2026-04-16
velaga-nageswara-rao-coll-of-engineering,blank,no,
vemu-institute-of-technology,blank,no,
vidyajyothi-institute-of-technology-autonomous,blank,no,
vignan,verified,yes,2026-04-16
vignan-bharati-institute-of-technology-autonomous,blank,no,
vignan-institute-of-technology-and-sci-autonomous,blank,no,
vignan-pharmacy-college,blank,no,
vignans-inst-of-management-and-tech-for-women,blank,no,
vignans-institute-of-information-technology,blank,no,
vignans-instt-of-engineering-for-women,blank,no,
vignans-lara-inst-of-technology-and-sci,blank,no,
vignans-nirula-inst-of-tech-and-sci-for-women,blank,no,
vijaya-engineering-college,blank,no,
vijaya-inst-of-technology-for-women,blank,no,
vijaya-rural-engineering-college,blank,no,
vijayam-institute-of-technology,blank,no,
vikas-college-of-engineering-and-technology,blank,no,
vikas-group-of-institutions,blank,no,
visakha-inst-of-engg-and-technology,blank,no,
vishnu-grp-of-instns-vishnu-inst-of-technology,blank,no,
viswam-engineering-college,blank,no,
viswanatha-inst-of-pharm-sci,blank,no,
visweswaraya-coll-of-engg-and-technology,blank,no,
vit-ap-university,blank,no,
vit-ap-university-5-year-integrated-mtech,blank,no,
vit-vellore,verified,yes,2026-04-09
vkr-vnb-and-agk-engineering-college,blank,no,
vmr-pradeep-kumar-inst-of-engg-tech,blank,no,
vnit-nagpur,verified,yes,2026-04-16
vnrvjiet,verified,yes,2026-04-09
vrs-and-yrn-college-of-engg-and-technology,blank,no,
vrsec-vijayawada,verified,yes,2026-04-16
vsm-college-of-engineering,blank,no,
warangal-inst-of-technology-science,blank,no,
wellfare-inst-of-science-tech-and-mgmt,blank,no,
west-godavari-instt-of-science-and-engineering,blank,no,
ygvu-ysr-engineering-college,blank,no,
